"device_id","app_name","minutes"
570,"Amazon Mobile (Mobile App)",13.45
2412,"Facebook Messenger (Mobile App)",91.91
776,"Facebook Messenger (Mobile App)",640.88
1668,"YouTube (Mobile App)",14.75
1605,"Google Play (Mobile App)",6.21
1027,"Yahoo Mail (Mobile App)",131.50
1707,"Facebook Messenger (Mobile App)",1005.74
2540,"Instagram (Mobile App)",117.89
194,"Netflix (Mobile App)",310.85
1950,"Facebook Messenger (Mobile App)",610.67
808,"YouTube (Mobile App)",390.86
1844,"Facebook (Mobile App)",440.48
2671,"Google Play (Mobile App)",0.43
1636,"YouTube (Mobile App)",2620.03
830,"Facebook Messenger (Mobile App)",222.83
2070,"Yahoo Mail (Mobile App)",202.54
859,"Instagram (Mobile App)",18.22
1748,"Netflix (Mobile App)",0.06
2069,"Facebook (Mobile App)",231.79
993,"Google Play (Mobile App)",29.42
2032,"Instagram (Mobile App)",217.01
2630,"YouTube (Mobile App)",3.23
723,"Facebook Messenger (Mobile App)",46.27
1906,"Instagram (Mobile App)",54.50
2629,"Amazon Mobile (Mobile App)",0.60
1683,"Facebook Messenger (Mobile App)",2377.99
144,"YouTube (Mobile App)",97.79
2272,"YouTube (Mobile App)",5.67
1824,"Instagram (Mobile App)",699.74
2410,"Instagram (Mobile App)",4.61
1565,"Walmart (Mobile App)",0.04
1497,"Netflix (Mobile App)",39.90
1430,"Facebook Messenger (Mobile App)",2341.57
567,"Google Play (Mobile App)",44.53
2371,"Facebook Messenger (Mobile App)",425.71
2164,"Amazon Mobile (Mobile App)",10.12
190,"Google Search (Mobile App)",74.65
2069,"Google Play (Mobile App)",44.43
1946,"Facebook Messenger (Mobile App)",393.02
2076,"YouTube (Mobile App)",813.64
1493,"YouTube (Mobile App)",1589.48
297,"Instagram (Mobile App)",325.22
1477,"Facebook (Mobile App)",1054.98
2492,"Google Play (Mobile App)",106.93
804,"Amazon Mobile (Mobile App)",3.22
331,"Google Search (Mobile App)",1.28
2245,"Facebook Messenger (Mobile App)",956.91
2195,"Facebook (Mobile App)",1576.08
2647,"Google Search (Mobile App)",1.14
155,"Outlook (Mobile App)",0.99
541,"Google Search (Mobile App)",0.12
1587,"Snapchat (Mobile App)",102.39
1089,"Yahoo Mail (Mobile App)",0.31
111,"Snapchat (Mobile App)",0.29
1386,"Amazon Mobile (Mobile App)",8.44
1379,"Facebook (Mobile App)",393.63
2153,"YouTube (Mobile App)",1.97
1438,"Outlook (Mobile App)",205.80
1006,"Amazon Mobile (Mobile App)",23.88
637,"YouTube (Mobile App)",8.43
345,"Google Search (Mobile App)",5.84
2601,"YouTube (Mobile App)",1355.94
215,"Facebook (Mobile App)",2433.50
662,"Facebook (Mobile App)",3521.33
827,"Facebook (Mobile App)",105.18
2355,"YouTube (Mobile App)",140.25
1710,"Google Search (Mobile App)",254.92
442,"Walmart (Mobile App)",
2729,"Snapchat (Mobile App)",
2519,"Google Play (Mobile App)",1.83
2258,"Pinterest (Mobile App)",0.42
214,"Facebook Messenger (Mobile App)",733.26
1871,"Instagram (Mobile App)",3158.93
1972,"Google Search (Mobile App)",7.10
245,"Google Search (Mobile App)",64.68
543,"Google Search (Mobile App)",561.91
489,"Google Play (Mobile App)",101.57
2638,"Amazon Mobile (Mobile App)",6.33
303,"Microsoft Word (Mobile App)",6.00
184,"Snapchat (Mobile App)",459.08
1047,"Facebook Messenger (Mobile App)",11.22
1322,"Google Play (Mobile App)",
1611,"Google Search (Mobile App)",70.61
441,"Facebook Messenger (Mobile App)",427.74
2077,"YouTube (Mobile App)",428.93
1723,"Facebook (Mobile App)",1340.85
723,"Instagram (Mobile App)",3.24
694,"Google Search (Mobile App)",4.06
2730,"Amazon Mobile (Mobile App)",0.15
2736,"Facebook (Mobile App)",12.71
1449,"YouTube (Mobile App)",4.12
1278,"Amazon Mobile (Mobile App)",17.12
2728,"Snapchat (Mobile App)",58.08
1021,"Amazon Mobile (Mobile App)",0.15
1941,"Google Search (Mobile App)",1.14
412,"Facebook (Mobile App)",163.19
372,"Google Play (Mobile App)",6.09
515,"Snapchat (Mobile App)",6.01
1580,"Instagram (Mobile App)",12.14
678,"Instagram (Mobile App)",61.83
281,"YouTube (Mobile App)",506.81
387,"Google Play (Mobile App)",19.24
1564,"Facebook Messenger (Mobile App)",11.66
1284,"Google Search (Mobile App)",
2079,"Google Search (Mobile App)",0.19
116,"Instagram (Mobile App)",90.56
2550,"Amazon Mobile (Mobile App)",1.64
1371,"Google Search (Mobile App)",0.07
673,"Facebook Messenger (Mobile App)",273.08
918,"Netflix (Mobile App)",0.27
65,"Google Play (Mobile App)",
1004,"Facebook (Mobile App)",549.87
378,"Google Play (Mobile App)",38.54
2022,"Facebook (Mobile App)",656.72
2005,"Pinterest (Mobile App)",23.43
1,"Yahoo Mail (Mobile App)",97.33
251,"Netflix (Mobile App)",97.55
2062,"Facebook (Mobile App)",45.63
469,"Pinterest (Mobile App)",549.88
1405,"Amazon Mobile (Mobile App)",62.86
2206,"Google Play (Mobile App)",11.80
592,"Yahoo Mail (Mobile App)",141.49
291,"Amazon Mobile (Mobile App)",3.12
1397,"Facebook Messenger (Mobile App)",393.69
1174,"YouTube (Mobile App)",151.44
2682,"Amazon Music with Prime Music (Mobile App)",0.06
1798,"Facebook (Mobile App)",2309.11
1708,"Google Search (Mobile App)",361.37
184,"Google Play (Mobile App)",10.06
1714,"Facebook (Mobile App)",483.24
1674,"Instagram (Mobile App)",
1486,"Tumblr (Mobile App)",4.67
66,"Yahoo Mail (Mobile App)",29.20
930,"Facebook (Mobile App)",1481.33
1591,"Instagram (Mobile App)",11.35
2003,"Facebook Messenger (Mobile App)",560.77
100,"Google Search (Mobile App)",13464.93
1137,"Facebook Messenger (Mobile App)",26.46
2454,"Facebook (Mobile App)",986.66
712,"YouTube (Mobile App)",3.87
318,"Yahoo Mail (Mobile App)",117.23
115,"Google Play (Mobile App)",31.32
1194,"Google Play (Mobile App)",4.68
1389,"Walmart (Mobile App)",8.64
2739,"Facebook (Mobile App)",1191.96
946,"YouTube (Mobile App)",81.93
472,"Facebook (Mobile App)",1186.43
2272,"Amazon Mobile (Mobile App)",2.30
684,"Instagram (Mobile App)",37.26
381,"Google Search (Mobile App)",94.98
1108,"YouTube (Mobile App)",125.96
1901,"Netflix (Mobile App)",69.83
2367,"Snapchat (Mobile App)",22.35
621,"Facebook (Mobile App)",2604.33
746,"Amazon Music with Prime Music (Mobile App)",26.43
266,"YouTube (Mobile App)",159.12
157,"Amazon Mobile (Mobile App)",31.10
1536,"Facebook Messenger (Mobile App)",913.32
794,"YouTube (Mobile App)",0.09
249,"Pinterest (Mobile App)",0.27
349,"Google Search (Mobile App)",45.49
1995,"Google Search (Mobile App)",23.95
2401,"YouTube (Mobile App)",15.85
2743,"Instagram (Mobile App)",1.40
2505,"Snapchat (Mobile App)",137.60
1038,"Google Play (Mobile App)",
1964,"Instagram (Mobile App)",8.85
1661,"Google Search (Mobile App)",41.03
745,"Amazon Mobile (Mobile App)",38.39
800,"Google Search (Mobile App)",34.37
875,"Google Search (Mobile App)",526.56
1822,"Amazon Mobile (Mobile App)",8.03
976,"Snapchat (Mobile App)",185.12
813,"Facebook Messenger (Mobile App)",121.43
575,"Facebook (Mobile App)",0.05
376,"Amazon Mobile (Mobile App)",1.48
534,"Snapchat (Mobile App)",17.97
74,"Google Search (Mobile App)",119.52
1270,"Google Play (Mobile App)",11.06
234,"Amazon Mobile (Mobile App)",17.54
358,"Google Search (Mobile App)",70.79
1614,"Yahoo Mail (Mobile App)",1.33
2401,"Netflix (Mobile App)",29.90
672,"Google Search (Mobile App)",195.00
1953,"Google Search (Mobile App)",40.61
2160,"Netflix (Mobile App)",161.05
479,"Amazon Mobile (Mobile App)",12.02
1095,"Instagram (Mobile App)",0.29
399,"Google Play (Mobile App)",49.47
2398,"Google Search (Mobile App)",1.91
2113,"Amazon Mobile (Mobile App)",0.08
2106,"Google Play (Mobile App)",
768,"Walmart (Mobile App)",13.69
2567,"Facebook (Mobile App)",819.59
803,"Microsoft Word (Mobile App)",79.08
386,"Google Play (Mobile App)",1.45
2343,"Yahoo Newsroom (Mobile App)",23.54
1408,"Google Play (Mobile App)",7.95
667,"Pinterest (Mobile App)",9.84
1674,"Yahoo Mail (Mobile App)",9.21
1928,"Snapchat (Mobile App)",121.11
1813,"Facebook (Mobile App)",726.00
1384,"Facebook (Mobile App)",1461.66
409,"YouTube (Mobile App)",0.96
904,"Facebook (Mobile App)",153.47
969,"Snapchat (Mobile App)",4.68
1107,"Facebook Messenger (Mobile App)",420.54
437,"YouTube (Mobile App)",32.46
479,"Facebook (Mobile App)",1372.76
315,"YouTube (Mobile App)",2.05
38,"YouTube (Mobile App)",106.70
2216,"Google Search (Mobile App)",26.14
1577,"Amazon Mobile (Mobile App)",53.36
1738,"Google Search (Mobile App)",58.13
1117,"YouTube (Mobile App)",980.71
153,"Facebook (Mobile App)",350.89
806,"Facebook (Mobile App)",947.95
38,"Google Search (Mobile App)",79.53
1242,"YouTube (Mobile App)",507.97
804,"Google Play (Mobile App)",12.99
281,"Facebook (Mobile App)",282.05
3,"YouTube (Mobile App)",4944.05
258,"Walmart (Mobile App)",6.51
1645,"Google Search (Mobile App)",124.38
628,"Amazon Mobile (Mobile App)",67.29
848,"Snapchat (Mobile App)",241.23
2602,"Google Play (Mobile App)",3.42
68,"Netflix (Mobile App)",0.89
307,"YouTube (Mobile App)",
1065,"Pinterest (Mobile App)",
514,"Facebook Messenger (Mobile App)",371.80
8,"Facebook (Mobile App)",132.72
1992,"Facebook (Mobile App)",205.07
2657,"Amazon Mobile (Mobile App)",9.67
2578,"Pinterest (Mobile App)",0.22
758,"Yahoo Newsroom (Mobile App)",37.92
1445,"Google Play (Mobile App)",38.14
43,"Netflix (Mobile App)",1.22
55,"Facebook (Mobile App)",1466.84
667,"Facebook (Mobile App)",818.94
1141,"Instagram (Mobile App)",4.65
723,"Google Play (Mobile App)",431.67
1765,"Google Play (Mobile App)",25.81
1375,"Google Search (Mobile App)",
1646,"Outlook (Mobile App)",21.69
1863,"Google Play (Mobile App)",0.81
263,"Google Search (Mobile App)",6.65
1704,"Facebook Messenger (Mobile App)",161.98
1576,"Facebook Messenger (Mobile App)",101.26
1858,"Microsoft Word (Mobile App)",1.31
1051,"Facebook Messenger (Mobile App)",95.66
824,"Google Search (Mobile App)",11.45
558,"Instagram (Mobile App)",5.37
166,"Pinterest (Mobile App)",0.75
2737,"Instagram (Mobile App)",314.10
1495,"YouTube (Mobile App)",1625.95
2554,"Facebook Messenger (Mobile App)",64.03
531,"Kindle (Mobile App)",0.10
806,"Google Play (Mobile App)",92.92
2553,"Amazon Music with Prime Music (Mobile App)",1.04
95,"Amazon Mobile (Mobile App)",0.07
2768,"Amazon Mobile (Mobile App)",29.58
1232,"Google Search (Mobile App)",0.62
2016,"Facebook Messenger (Mobile App)",54.09
1538,"Amazon Mobile (Mobile App)",28.09
2002,"Google Play (Mobile App)",8.20
2086,"Pinterest (Mobile App)",0.04
2250,"YouTube (Mobile App)",1.13
1964,"Facebook Messenger (Mobile App)",43.12
2221,"Kindle (Mobile App)",1.62
1450,"Google Play (Mobile App)",8.55
2182,"Google Play (Mobile App)",3.86
1562,"Google Play (Mobile App)",4.57
1949,"Amazon Music with Prime Music (Mobile App)",0.02
1719,"YouTube (Mobile App)",27.27
196,"Microsoft Word (Mobile App)",
516,"Facebook Messenger (Mobile App)",286.03
1514,"Google Play (Mobile App)",11.11
255,"Facebook (Mobile App)",415.11
97,"Facebook (Mobile App)",230.00
2223,"Google Play (Mobile App)",95.16
1180,"Pinterest (Mobile App)",44.90
1174,"Instagram (Mobile App)",15.98
2723,"Google Play (Mobile App)",9.57
1134,"Amazon Mobile (Mobile App)",26.91
2554,"YouTube (Mobile App)",7.26
1085,"Pinterest (Mobile App)",461.07
151,"Walmart (Mobile App)",15.75
1456,"Google Search (Mobile App)",183.00
895,"YouTube (Mobile App)",24.68
50,"Facebook (Mobile App)",570.05
1077,"Amazon Mobile (Mobile App)",1.20
2345,"Instagram (Mobile App)",110.14
1823,"Facebook Messenger (Mobile App)",433.21
2093,"Google Play (Mobile App)",12.75
749,"Facebook (Mobile App)",47.96
607,"Snapchat (Mobile App)",24.32
338,"Facebook Messenger (Mobile App)",2.80
2557,"Pinterest (Mobile App)",4.24
1839,"Yahoo Mail (Mobile App)",10.32
1114,"Facebook (Mobile App)",947.90
1853,"Google Search (Mobile App)",27.55
113,"Amazon Mobile (Mobile App)",40.74
1193,"Netflix (Mobile App)",0.07
2282,"Netflix (Mobile App)",22.04
2671,"Sam's Club Scan & Go (Mobile App)",0.88
304,"Facebook (Mobile App)",245.49
592,"GroupMe (Mobile App)",14.93
2297,"Google Search (Mobile App)",0.08
82,"Amazon Mobile (Mobile App)",41.37
678,"YouTube (Mobile App)",9.92
1200,"GroupMe (Mobile App)",3.55
1694,"Facebook (Mobile App)",1126.65
828,"YouTube (Mobile App)",449.03
1434,"Snapchat (Mobile App)",56.12
188,"Facebook Messenger (Mobile App)",651.49
1028,"Pinterest (Mobile App)",72.80
335,"Google Search (Mobile App)",391.94
1922,"Google Play (Mobile App)",7.89
588,"Netflix (Mobile App)",43.67
1161,"Google Search (Mobile App)",648.05
1120,"Amazon Music with Prime Music (Mobile App)",0.84
2132,"Google Search (Mobile App)",54.28
2277,"Facebook Messenger (Mobile App)",0.05
1655,"Facebook (Mobile App)",936.85
849,"Facebook Messenger (Mobile App)",121.51
1602,"Instagram (Mobile App)",18.90
1982,"Snapchat (Mobile App)",97.44
2110,"Facebook (Mobile App)",1046.59
94,"YouTube (Mobile App)",949.79
2512,"Snapchat (Mobile App)",29.03
590,"Amazon Music with Prime Music (Mobile App)",0.42
913,"Facebook (Mobile App)",420.98
1868,"YouTube (Mobile App)",103.06
12,"Google Play (Mobile App)",7.71
414,"Pinterest (Mobile App)",2.16
600,"Facebook Messenger (Mobile App)",98.85
946,"Amazon Mobile (Mobile App)",310.73
2021,"Google Search (Mobile App)",0.44
1671,"Google Play (Mobile App)",4.84
2758,"Google Play (Mobile App)",85.72
2065,"Kindle (Mobile App)",9.45
555,"Kindle (Mobile App)",0.48
1039,"Google Search (Mobile App)",0.84
2613,"Pinterest (Mobile App)",59.17
2013,"Facebook Messenger (Mobile App)",167.11
1266,"Instagram (Mobile App)",432.61
1704,"Facebook (Mobile App)",1019.79
1046,"Google Play (Mobile App)",124.66
1004,"Instagram (Mobile App)",
1590,"Amazon Mobile (Mobile App)",21.66
564,"Outlook (Mobile App)",26.51
2041,"Google Search (Mobile App)",391.75
1812,"Snapchat (Mobile App)",346.16
1708,"Facebook (Mobile App)",257.28
757,"Pinterest (Mobile App)",
1722,"Netflix (Mobile App)",0.22
2712,"Google Search (Mobile App)",164.20
1143,"YouTube (Mobile App)",248.02
1569,"Google Play (Mobile App)",4.47
2702,"Facebook (Mobile App)",2036.46
247,"Facebook (Mobile App)",2507.76
1977,"Instagram (Mobile App)",1161.20
1858,"YouTube (Mobile App)",23.35
1729,"Facebook Messenger (Mobile App)",249.97
672,"YouTube (Mobile App)",
1802,"Facebook Messenger (Mobile App)",61.64
369,"Amazon Mobile (Mobile App)",2.37
850,"Facebook (Mobile App)",2542.48
1724,"YouTube (Mobile App)",475.19
1839,"Instagram (Mobile App)",59.70
2717,"Amazon Mobile (Mobile App)",19.16
284,"YouTube (Mobile App)",37.51
487,"Netflix (Mobile App)",40.33
1629,"Yahoo Mail (Mobile App)",5.85
171,"Netflix (Mobile App)",40.96
1385,"Facebook (Mobile App)",313.28
675,"Snapchat (Mobile App)",0.13
1827,"Google Search (Mobile App)",19.26
927,"Pinterest (Mobile App)",65.71
2259,"Pinterest (Mobile App)",9.02
2653,"Outlook (Mobile App)",3.08
1325,"Netflix (Mobile App)",269.12
154,"Yahoo Mail (Mobile App)",23.57
1574,"Netflix (Mobile App)",118.68
956,"Netflix (Mobile App)",0.08
1089,"Netflix (Mobile App)",20.39
1786,"Google Play (Mobile App)",2.97
853,"YouTube (Mobile App)",3.12
2384,"Google Play (Mobile App)",60.38
204,"YouTube (Mobile App)",508.94
2113,"Google Play (Mobile App)",84.72
419,"Snapchat (Mobile App)",12.84
550,"Amazon Mobile (Mobile App)",2.42
431,"Google Play (Mobile App)",24.49
1935,"Amazon Mobile (Mobile App)",50.36
2598,"Snapchat (Mobile App)",216.02
2160,"Facebook Messenger (Mobile App)",151.41
1102,"YouTube (Mobile App)",6.65
1240,"Google Search (Mobile App)",3.31
63,"Snapchat (Mobile App)",117.84
148,"Facebook (Mobile App)",703.13
1345,"YouTube (Mobile App)",
643,"Amazon Mobile (Mobile App)",7.74
2699,"YouTube (Mobile App)",6.43
489,"Facebook Messenger (Mobile App)",345.75
2467,"Instagram (Mobile App)",1.92
2090,"Google Search (Mobile App)",3.38
2457,"Google Search (Mobile App)",
1386,"Instagram (Mobile App)",276.48
1352,"Facebook Messenger (Mobile App)",1188.78
2215,"Facebook (Mobile App)",1022.41
1616,"Yahoo Mail (Mobile App)",0.09
2563,"YouTube (Mobile App)",0.37
1220,"Netflix (Mobile App)",431.93
314,"Google Search (Mobile App)",214.82
1671,"Facebook (Mobile App)",4.59
500,"Facebook Messenger (Mobile App)",337.63
1096,"Facebook (Mobile App)",398.25
1617,"Google Play (Mobile App)",22.94
2731,"Facebook Messenger (Mobile App)",0.23
1788,"Facebook Messenger (Mobile App)",274.01
2461,"Pinterest (Mobile App)",100.93
1615,"YouTube (Mobile App)",7.92
2484,"Facebook Messenger (Mobile App)",97.45
178,"Google Play (Mobile App)",92.13
903,"Google Play (Mobile App)",24.97
524,"Google Play (Mobile App)",10.71
445,"Kindle (Mobile App)",142.00
2099,"Snapchat (Mobile App)",147.04
467,"Outlook (Mobile App)",105.51
156,"Facebook (Mobile App)",1179.00
1546,"YouTube (Mobile App)",344.70
1807,"Pinterest (Mobile App)",31.28
1992,"Instagram (Mobile App)",3.44
2448,"Facebook (Mobile App)",736.00
1148,"Pinterest (Mobile App)",16.45
552,"Google Search (Mobile App)",96.02
979,"Facebook Messenger (Mobile App)",10.78
1094,"Pinterest (Mobile App)",
1248,"Instagram (Mobile App)",1339.09
888,"Google Search (Mobile App)",27.93
1101,"YouTube (Mobile App)",1235.41
2087,"Google Search (Mobile App)",0.09
2762,"Instagram (Mobile App)",18.65
907,"Google Play (Mobile App)",70.01
1767,"Netflix (Mobile App)",185.59
446,"Google Search (Mobile App)",0.24
1107,"Google Search (Mobile App)",23.68
1593,"Facebook (Mobile App)",72.17
2689,"Google Search (Mobile App)",63.88
189,"Google Play (Mobile App)",
413,"Google Search (Mobile App)",64.42
2677,"YouTube (Mobile App)",53.93
1268,"Google Search (Mobile App)",208.67
2284,"Instagram (Mobile App)",4.18
1130,"Google Play (Mobile App)",24.17
2325,"Facebook Messenger (Mobile App)",0.02
920,"Facebook Messenger (Mobile App)",80.29
782,"YouTube (Mobile App)",
746,"Google Play (Mobile App)",7.97
376,"Netflix (Mobile App)",219.49
496,"Snapchat (Mobile App)",13.18
278,"Google Search (Mobile App)",49.26
2420,"Google Search (Mobile App)",0.91
1550,"Facebook (Mobile App)",1732.18
44,"Walmart (Mobile App)",25.31
1545,"Facebook Messenger (Mobile App)",2136.66
392,"YouTube (Mobile App)",110.87
1695,"Instagram (Mobile App)",10.36
696,"Amazon Mobile (Mobile App)",19.78
111,"Google Search (Mobile App)",53.63
2161,"Google Search (Mobile App)",465.30
2186,"Facebook Messenger (Mobile App)",18.89
447,"Google Play (Mobile App)",7.96
80,"Instagram (Mobile App)",578.80
187,"Pinterest (Mobile App)",29.91
84,"Google Search (Mobile App)",5.76
2157,"YouTube (Mobile App)",7.82
2376,"Walmart (Mobile App)",20.07
1586,"Google Play (Mobile App)",2.77
2104,"Amazon Mobile (Mobile App)",28.15
2554,"Google Play (Mobile App)",4.39
1619,"Amazon Mobile (Mobile App)",7.61
1882,"Amazon Mobile (Mobile App)",0.12
193,"YouTube (Mobile App)",19.11
862,"Netflix (Mobile App)",319.89
2726,"Instagram (Mobile App)",41.01
496,"Facebook Messenger (Mobile App)",38.40
555,"Netflix (Mobile App)",0.74
1384,"Snapchat (Mobile App)",28.63
2198,"Amazon Mobile (Mobile App)",0.39
931,"Facebook (Mobile App)",1850.88
1877,"Facebook (Mobile App)",1536.09
253,"Amazon Mobile (Mobile App)",16.68
1595,"Facebook (Mobile App)",276.56
1097,"Google Play (Mobile App)",21.74
1368,"Instagram (Mobile App)",14.74
430,"Google Play (Mobile App)",48.08
1625,"Google Play (Mobile App)",3.12
2583,"Amazon Mobile (Mobile App)",3.91
104,"YouTube (Mobile App)",76.28
2291,"Pinterest (Mobile App)",34.88
368,"YouTube (Mobile App)",6.25
675,"Facebook Messenger (Mobile App)",
2425,"Instagram (Mobile App)",99.12
1456,"Google Play (Mobile App)",22.59
2313,"Facebook (Mobile App)",123.68
241,"Amazon Mobile (Mobile App)",1.96
1051,"Facebook (Mobile App)",84.68
1898,"Pinterest (Mobile App)",28.63
2466,"Google Play (Mobile App)",63.17
100,"Kindle (Mobile App)",0.01
1716,"Snapchat (Mobile App)",373.92
1951,"Google Play (Mobile App)",32.58
1711,"Kindle (Mobile App)",145.68
1591,"YouTube (Mobile App)",724.69
1421,"Facebook Messenger (Mobile App)",166.51
2400,"YouTube (Mobile App)",29.55
249,"Google Play (Mobile App)",8.79
2360,"Amazon Mobile (Mobile App)",28.96
709,"Pinterest (Mobile App)",139.62
2450,"Facebook (Mobile App)",462.89
1401,"Facebook (Mobile App)",987.32
2608,"Facebook (Mobile App)",1055.40
2284,"Pinterest (Mobile App)",600.68
2004,"Google Search (Mobile App)",29.10
2681,"Netflix (Mobile App)",7.47
1199,"Facebook (Mobile App)",506.63
23,"Facebook (Mobile App)",2111.06
527,"Google Play (Mobile App)",5.95
123,"Google Play (Mobile App)",0.84
2288,"Instagram (Mobile App)",7.59
342,"Walmart (Mobile App)",33.28
568,"Kindle (Mobile App)",0.81
2503,"Google Search (Mobile App)",
2262,"Kindle (Mobile App)",3.27
2062,"Netflix (Mobile App)",113.08
1370,"Facebook Messenger (Mobile App)",78.74
434,"Amazon Mobile (Mobile App)",62.95
856,"Google Play (Mobile App)",29.54
32,"Yahoo Mail (Mobile App)",155.36
2042,"Google Search (Mobile App)",9.97
920,"Snapchat (Mobile App)",599.43
332,"Amazon Mobile (Mobile App)",39.41
417,"YouTube (Mobile App)",86.70
553,"YouTube (Mobile App)",7.50
2203,"Walmart (Mobile App)",39.36
2086,"Facebook (Mobile App)",305.32
1864,"Google Play (Mobile App)",2.00
1955,"Amazon Mobile (Mobile App)",246.43
2032,"GroupMe (Mobile App)",27.04
598,"Amazon Mobile (Mobile App)",44.12
2736,"Facebook Messenger (Mobile App)",546.65
1568,"Pinterest (Mobile App)",16.77
1623,"Facebook (Mobile App)",1081.89
2376,"Facebook Messenger (Mobile App)",402.61
247,"Facebook Messenger (Mobile App)",402.29
1114,"Instagram (Mobile App)",4.94
817,"Pinterest (Mobile App)",1.81
317,"Google Search (Mobile App)",0.46
2578,"Snapchat (Mobile App)",14.22
1492,"Facebook (Mobile App)",2080.39
1893,"Facebook (Mobile App)",1563.30
157,"Amazon Music with Prime Music (Mobile App)",16.23
2596,"Facebook Messenger (Mobile App)",1141.28
2374,"Facebook Messenger (Mobile App)",859.11
866,"YouTube (Mobile App)",48.17
398,"Microsoft Word (Mobile App)",39.01
412,"YouTube (Mobile App)",46.84
17,"Facebook Messenger (Mobile App)",45.46
1848,"Facebook (Mobile App)",391.64
1875,"Netflix (Mobile App)",0.31
791,"Google Search (Mobile App)",31.94
652,"Google Search (Mobile App)",25.57
1101,"Google Search (Mobile App)",2.17
2673,"Facebook Messenger (Mobile App)",453.26
257,"Facebook (Mobile App)",213.64
383,"Facebook Messenger (Mobile App)",154.66
1057,"YouTube (Mobile App)",121.61
